,ST_CASE,HARM_EV_2015
20748,370294,Motor Vehicle In-Transport
20749,370295,Motor Vehicle In-Transport
20750,370296,Pedestrian
20751,370297,Motor Vehicle In-Transport
20752,370298,Motor Vehicle In-Transport
20753,370299,Motor Vehicle In-Transport
20754,370300,Pedestrian
20755,370301,Motor Vehicle In-Transport
20756,370302,Culvert
20757,370303,Fence
20758,370304,Motor Vehicle In-Transport
20759,370305,Motor Vehicle In-Transport
20760,370306,Ditch
20761,370307,Rollover/Overturn
20762,370308,Curb
20763,370309,Motor Vehicle In-Transport
20764,370310,Pedestrian
20765,370311,Rollover/Overturn
20766,370312,Motor Vehicle In-Transport
20767,370313,Motor Vehicle In-Transport
20768,370314,Motor Vehicle In-Transport
20769,370315,Pedestrian
20770,370316,Pedestrian
20771,370317,Tree (Standing Only)
20772,370318,Pedestrian
20773,370319,Guardrail Face
20774,370320,Motor Vehicle In-Transport
20775,370321,Utility Pole/Light Support
20776,370322,Motor Vehicle In-Transport
20777,370323,Motor Vehicle In-Transport
20778,370324,Motor Vehicle In-Transport
20779,370325,Rollover/Overturn
20780,370326,Motor Vehicle In-Transport
20781,370327,Utility Pole/Light Support
20782,370328,Motor Vehicle In-Transport
20783,370329,Motor Vehicle In-Transport
20784,370330,Motor Vehicle In-Transport
20785,370331,Motor Vehicle In-Transport
20786,370332,Motor Vehicle In-Transport
20787,370333,Motor Vehicle In-Transport
20788,370334,Motor Vehicle In-Transport
20789,370335,Motor Vehicle In-Transport
20790,370336,Motor Vehicle In-Transport
20791,370337,Guardrail End
20792,370338,Motor Vehicle In-Transport
20793,370339,Motor Vehicle In-Transport
20794,370340,Pedestrian
20795,370341,Pedestrian
20796,370342,Rollover/Overturn
20797,370343,Motor Vehicle In-Transport
20798,370344,Motor Vehicle In-Transport
20799,370345,Pedestrian
20800,370346,Motor Vehicle In-Transport
20801,370347,Non-Motorist on Personal Conveyance
20802,370348,Motor Vehicle In-Transport
20803,370349,Other Fixed Object
20804,370350,Motor Vehicle In-Transport
20805,370351,Culvert
20806,370352,Motor Vehicle In-Transport
20807,370353,Motor Vehicle In-Transport
20808,370354,Utility Pole/Light Support
20809,370355,Motor Vehicle In-Transport
20810,370356,Rollover/Overturn
20811,370357,Motor Vehicle In-Transport
20812,370358,Culvert
20813,370359,Motor Vehicle In-Transport
20814,370360,Ditch
20815,370361,Embankment
20816,370362,Motor Vehicle In-Transport
20817,370363,Fell/Jumped from Vehicle
20818,370364,Tree (Standing Only)
20819,370365,Tree (Standing Only)
20820,370366,Ditch
20821,370367,Rollover/Overturn
20822,370368,Motor Vehicle In-Transport
20823,370369,Ditch
20824,370370,Other Non-Collision
20825,370371,Ditch
20826,370372,Utility Pole/Light Support
20827,370373,Ditch
20828,370374,Utility Pole/Light Support
20829,370375,Rollover/Overturn
20830,370376,Pedalcyclist
20831,370377,Rollover/Overturn
20832,370378,Motor Vehicle In-Transport
20833,370379,Motor Vehicle In-Transport
20834,370380,Pedestrian
20835,370381,Utility Pole/Light Support
20836,370382,Motor Vehicle In-Transport
20837,370383,Pedestrian
20838,370384,Motor Vehicle In-Transport
20839,370385,Rollover/Overturn
20840,370386,Tree (Standing Only)
20841,370387,Fence
20842,370388,Pedestrian
20843,370389,Motor Vehicle In-Transport
20844,370390,Embankment
20845,370391,Motor Vehicle In-Transport
20846,370392,Rollover/Overturn
20847,370393,Motor Vehicle In-Transport
20848,370394,Motor Vehicle In-Transport
20849,370395,Other Fixed Object
20850,370396,Motor Vehicle In-Transport
20851,370397,Ditch
20852,370398,Ditch
20853,370399,Motor Vehicle In-Transport
20854,370400,Motor Vehicle In-Transport
20855,370401,Utility Pole/Light Support
20856,370402,Motor Vehicle In-Transport
20857,370403,Motor Vehicle In-Transport
20858,370404,Motor Vehicle In-Transport
20859,370405,Fence
20860,370406,Mail Box
20861,370407,Motor Vehicle In-Transport
20862,370408,Embankment
20863,370409,Pedestrian
20864,370410,Guardrail End
20865,370411,Tree (Standing Only)
20866,370412,Curb
20867,370413,Motor Vehicle In-Transport
20868,370414,Tree (Standing Only)
20869,370415,Rollover/Overturn
20870,370416,Ditch
20871,370417,Ditch
20872,370418,Ditch
20873,370419,Motor Vehicle In-Transport
20874,370420,Ditch
20875,370421,Other Object (Not Fixed)
20876,370422,Ditch
20877,370423,Motor Vehicle In-Transport
20878,370424,Pedestrian
20879,370425,Culvert
20880,370426,Guardrail Face
20881,370427,Ditch
20882,370428,Motor Vehicle In-Transport
20883,370429,Motor Vehicle In-Transport
20884,370430,Ditch
20885,370431,Ditch
20886,370432,Pedalcyclist
20887,370433,Rollover/Overturn
20888,370434,Motor Vehicle In-Transport
20889,370435,Ditch
20890,370436,Traffic Sign Support
20891,370437,Motor Vehicle In-Transport
20892,370438,Fence
20893,370439,Live Animal
20894,370440,Motor Vehicle In-Transport
20895,370441,Other Fixed Object
20896,370442,Tree (Standing Only)
20897,370443,Motor Vehicle In-Transport
20898,370444,Pedalcyclist
20899,370445,Motor Vehicle In-Transport
20900,370446,Pedestrian
20901,370447,Tree (Standing Only)
20902,370448,Motor Vehicle In-Transport
20903,370449,Motor Vehicle In-Transport
20904,370450,Motor Vehicle In-Transport
20905,370451,Pedestrian
20906,370452,Tree (Standing Only)
20907,370453,Motor Vehicle In-Transport
20908,370454,Utility Pole/Light Support
20909,370455,Utility Pole/Light Support
20910,370456,Rollover/Overturn
20911,370457,Motor Vehicle In-Transport
20912,370458,Pedestrian
20913,370459,Motor Vehicle In-Transport
20914,370460,Motor Vehicle In-Transport
20915,370461,Motor Vehicle In-Transport
20916,370462,Motor Vehicle In-Transport
20917,370463,Pedestrian
20918,370464,Pedestrian
20919,370465,Tree (Standing Only)
20920,370466,Guardrail Face
20921,370467,Tree (Standing Only)
20922,370468,Rollover/Overturn
20923,370469,Embankment
20924,370470,Motor Vehicle In-Transport
20925,370471,Embankment
20926,370472,Traffic Sign Support
20927,370473,Motor Vehicle In-Transport
20928,370474,Other Fixed Object
20929,370475,Motor Vehicle In-Transport
20930,370476,Ditch
20931,370477,Tree (Standing Only)
20932,370478,Motor Vehicle In-Transport
20933,370479,Motor Vehicle In-Transport
20934,370480,Motor Vehicle In-Transport
20935,370481,Motor Vehicle In-Transport
20936,370482,Motor Vehicle In-Transport
20937,370483,Tree (Standing Only)
20938,370484,Pedalcyclist
20939,370485,Culvert
20940,370486,Motor Vehicle In-Transport
20941,370487,Tree (Standing Only)
20942,370488,Other Object (Not Fixed)
20943,370489,Motor Vehicle In-Transport
20944,370490,Motor Vehicle In-Transport
20945,370491,Motor Vehicle In-Transport
20946,370492,Motor Vehicle In-Transport
20947,370493,Tree (Standing Only)
20948,370494,Ditch
20949,370495,Rollover/Overturn
20950,370496,Motor Vehicle In-Transport
20951,370497,Motor Vehicle In-Transport
20952,370498,Motor Vehicle In-Transport
20953,370499,Mail Box
20954,370500,Culvert
20955,370501,Motor Vehicle In-Transport
20956,370502,Motor Vehicle In-Transport
20957,370503,Motor Vehicle In-Transport
20958,370504,Motor Vehicle In-Transport
20959,370505,Motor Vehicle In-Transport
20960,370506,Guardrail Face
20961,370507,Tree (Standing Only)
20962,370508,Rollover/Overturn
20963,370509,Tree (Standing Only)
20964,370510,Motor Vehicle In-Transport
20965,370511,Tree (Standing Only)
20966,370512,Motor Vehicle In-Transport
20967,370513,Other Object (Not Fixed)
20968,370514,Ditch
20969,370515,Motor Vehicle In-Transport
20970,370516,Motor Vehicle In-Transport
20971,370517,Motor Vehicle In-Transport
20972,370518,Motor Vehicle In-Transport
20973,370519,Motor Vehicle In-Transport
20974,370520,Mail Box
20975,370521,Motor Vehicle In-Transport
20976,370522,Motor Vehicle In-Transport
20977,370523,Ditch
20978,370524,Motor Vehicle In-Transport
20979,370525,Motor Vehicle In-Transport
20980,370526,Motor Vehicle In-Transport
20981,370527,Motor Vehicle In-Transport
20982,370528,Other Object (Not Fixed)
20983,370529,Guardrail Face
20984,370530,Tree (Standing Only)
20985,370531,Tree (Standing Only)
20986,370532,Pedestrian
20987,370533,Motor Vehicle In-Transport
20988,370534,Mail Box
20989,370535,Traffic Sign Support
20990,370536,Rollover/Overturn
20991,370537,Motor Vehicle In-Transport
20992,370538,Rollover/Overturn
20993,370539,Motor Vehicle In-Transport
20994,370540,Pedestrian
20995,370541,Tree (Standing Only)
20996,370542,Rollover/Overturn
20997,370543,Culvert
20998,370544,Fence
20999,370545,Motor Vehicle In-Transport
21000,370546,Motor Vehicle In-Transport
21001,370547,Tree (Standing Only)
21002,370548,Culvert
21003,370549,Embankment
21004,370550,Pedestrian
21005,370551,Motor Vehicle In-Transport
21006,370552,Motor Vehicle In-Transport
21007,370553,Motor Vehicle In-Transport
21008,370554,Tree (Standing Only)
21009,370555,Pedestrian
21010,370556,Other Fixed Object
21011,370557,Motor Vehicle In-Transport
21012,370558,Motor Vehicle In-Transport
21013,370559,Tree (Standing Only)
21014,370560,Motor Vehicle In-Transport
21015,370561,Motor Vehicle In-Transport
21016,370562,Motor Vehicle In-Transport
21017,370563,Motor Vehicle In-Transport
21018,370564,Non-Motorist on Personal Conveyance
21019,370565,Motor Vehicle In-Transport
21020,370566,Ditch
21021,370567,Pedestrian
21022,370568,Tree (Standing Only)
21023,370569,Traffic Sign Support
21024,370570,Motor Vehicle In-Transport
21025,370571,Pedestrian
21026,370572,Motor Vehicle In-Transport
21027,370573,Mail Box
21028,370574,Pedestrian
21029,370575,Ditch
21030,370576,Motor Vehicle In-Transport
21031,370577,Motor Vehicle In-Transport
21032,370578,Fence
21033,370579,Tree (Standing Only)
21034,370580,Motor Vehicle In-Transport
21035,370582,Motor Vehicle In-Transport
21036,370583,Motor Vehicle In-Transport
21037,370584,Curb
21038,370585,Guardrail End
21039,370586,Embankment
21040,370587,Pedestrian
21041,370588,Motor Vehicle In-Transport
21042,370589,Motor Vehicle In-Transport
21043,370590,Motor Vehicle In-Transport
21044,370591,Ditch
21045,370592,Motor Vehicle In-Transport
21046,370593,Motor Vehicle In-Transport
21047,370594,Rollover/Overturn
21048,370595,Tree (Standing Only)
21049,370596,Utility Pole/Light Support
21050,370597,Utility Pole/Light Support
21051,370598,Motor Vehicle In-Transport
21052,370599,Motor Vehicle In-Transport
21053,370600,Motor Vehicle In-Transport
21054,370601,Embankment
21055,370602,Culvert
21056,370603,Motor Vehicle In-Transport
21057,370604,Non-Motorist on Personal Conveyance
21058,370605,Other Fixed Object
21059,370606,Motor Vehicle In-Transport
21060,370607,Pedestrian
21061,370608,Guardrail Face
21062,370609,Rollover/Overturn
21063,370610,Tree (Standing Only)
21064,370611,Ditch
21065,370612,Rollover/Overturn
21066,370613,Pedestrian
21067,370614,Cable Barrier
21068,370615,Motor Vehicle In-Transport
21069,370616,Ditch
21070,370617,Pedestrian
21071,370618,Ditch
21072,370619,Fence
21073,370620,Motor Vehicle In-Transport
21074,370622,Motor Vehicle In-Transport
21075,370623,Motor Vehicle In-Transport
21076,370624,Utility Pole/Light Support
21077,370625,Motor Vehicle In-Transport
21078,370626,Ditch
21079,370627,Pedestrian
21080,370628,Other Object (Not Fixed)
21081,370629,Pedestrian
21082,370630,Motor Vehicle In-Transport
21083,370631,Pedestrian
21084,370632,Guardrail Face
21085,370633,Motor Vehicle In-Transport
21086,370634,Pedestrian
21087,370635,Tree (Standing Only)
21088,370636,Pedestrian
21089,370637,Motor Vehicle In-Transport
21090,370638,Motor Vehicle In-Transport
21091,370639,Motor Vehicle In-Transport
21092,370640,Motor Vehicle In-Transport
21093,370641,Tree (Standing Only)
21094,370642,Motor Vehicle In-Transport
21095,370643,Motor Vehicle In-Transport
21096,370644,Pedestrian
21097,370645,Rollover/Overturn
21098,370646,Traffic Sign Support
21099,370647,Pedestrian
21100,370648,Rollover/Overturn
21101,370649,Rollover/Overturn
21102,370650,Pedestrian
21103,370651,Guardrail Face
21104,370652,Motor Vehicle In-Transport
21105,370653,Other Object (Not Fixed)
21106,370654,Motor Vehicle In-Transport
21107,370655,Motor Vehicle In-Transport
21108,370656,Motor Vehicle In-Transport
21109,370657,Ditch
21110,370658,Motor Vehicle In-Transport
21111,370659,Rollover/Overturn
21112,370660,Guardrail Face
21113,370661,Motor Vehicle In-Transport
21114,370662,Tree (Standing Only)
21115,370663,Motor Vehicle In-Transport
21116,370664,Motor Vehicle In-Transport
21117,370665,Pedalcyclist
21118,370666,Motor Vehicle In-Transport
21119,370667,Motor Vehicle In-Transport
21120,370668,Motor Vehicle In-Transport
21121,370670,Motor Vehicle In-Transport
21122,370671,Rollover/Overturn
21123,370672,Ditch
21124,370673,Motor Vehicle In-Transport
21125,370674,Motor Vehicle In-Transport
21126,370675,Tree (Standing Only)
21127,370676,Traffic Sign Support
21128,370677,Tree (Standing Only)
21129,370678,Ditch
21130,370679,Pedestrian
21131,370680,Ditch
21132,370681,Motor Vehicle In-Transport
21133,370682,Tree (Standing Only)
21134,370683,Live Animal
21135,370684,Motor Vehicle In-Transport
21136,370685,Pedestrian
21137,370686,Utility Pole/Light Support
21138,370687,Motor Vehicle In-Transport
21139,370688,Tree (Standing Only)
21140,370689,Rollover/Overturn
21141,370690,Motor Vehicle In-Transport
21142,370691,Rollover/Overturn
21143,370692,Ditch
21144,370693,Ditch
21145,370694,Motor Vehicle In-Transport
21146,370695,Guardrail End
21147,370696,Utility Pole/Light Support
21148,370697,Tree (Standing Only)
21149,370698,Motor Vehicle In-Transport
21150,370699,Other Object (Not Fixed)
21151,370700,Ditch
21152,370701,Other Fixed Object
21153,370702,Pedalcyclist
21154,370703,Motor Vehicle In-Transport
21155,370704,Pedestrian
21156,370705,Motor Vehicle In-Transport
21157,370706,Pedestrian
21158,370707,Pedestrian
21159,370708,Rollover/Overturn
21160,370709,Parked Motor Vehicle
21161,370710,Motor Vehicle In-Transport
21162,370711,Motor Vehicle In-Transport
21163,370712,Ditch
21164,370713,Motor Vehicle In-Transport
21165,370714,Traffic Sign Support
21166,370715,Embankment
21167,370716,Other Fixed Object
21168,370717,Pedalcyclist
21169,370718,Utility Pole/Light Support
21170,370719,Pedestrian
21171,370720,Motor Vehicle In-Transport
21172,370721,Motor Vehicle In-Transport
21173,370722,Other Fixed Object
21174,370723,Motor Vehicle In-Transport
21175,370724,Other Non-Collision
21176,370725,Cable Barrier
21177,370726,Motor Vehicle In-Transport
21178,370727,Motor Vehicle In-Transport
21179,370728,Tree (Standing Only)
21180,370729,Mail Box
21181,370730,Ditch
21182,370731,Motor Vehicle In-Transport
21183,370732,Other Fixed Object
21184,370733,Motor Vehicle In-Transport
21185,370734,Tree (Standing Only)
21186,370735,Guardrail Face
21187,370736,Rollover/Overturn
21188,370737,Rollover/Overturn
21189,370738,Tree (Standing Only)
21190,370739,Rollover/Overturn
21191,370740,Pedestrian
21192,370741,Pedestrian
21193,370742,Ditch
21194,370743,Motor Vehicle In-Transport
21195,370744,Pedestrian
21196,370745,Other Object (Not Fixed)
21197,370746,Ditch
21198,370747,Motor Vehicle In-Transport
21199,370748,Ditch
21200,370749,Motor Vehicle In-Transport
21201,370750,Motor Vehicle In-Transport
21202,370751,Guardrail End
21203,370752,Tree (Standing Only)
21204,370753,Guardrail End
21205,370754,Motor Vehicle In-Transport
21206,370755,Parked Motor Vehicle
21207,370756,Motor Vehicle In-Transport
21208,370757,Motor Vehicle In-Transport
21209,370758,Pedestrian
21210,370759,Motor Vehicle In-Transport
21211,370760,Tree (Standing Only)
21212,370761,Rollover/Overturn
21213,370762,Pedalcyclist
21214,370763,Motor Vehicle In-Transport
21215,370764,Culvert
21216,370765,Embankment
21217,370766,Motor Vehicle In-Transport
21218,370767,Pedestrian
21219,370768,Culvert
21220,370769,Motor Vehicle In-Transport
21221,370770,Motor Vehicle In-Transport
21222,370771,Motor Vehicle In-Transport
21223,370772,Pedestrian
21224,370773,Other Traffic Barrier
21225,370774,Rollover/Overturn
21226,370775,Motor Vehicle In-Transport
21227,370776,Motor Vehicle In-Transport
21228,370777,Motor Vehicle In-Transport
21229,370778,Ditch
21230,370779,Concrete Traffic Barrier
21231,370780,Traffic Sign Support
21232,370781,Motor Vehicle In-Transport
21233,370782,Culvert
21234,370783,Tree (Standing Only)
21235,370784,Ditch
21236,370785,Motor Vehicle In-Transport
21237,370786,Mail Box
21238,370787,Motor Vehicle In-Transport
21239,370788,Pedestrian
21240,370789,Ditch
21241,370790,Pedestrian
21242,370791,Guardrail Face
21243,370792,Tree (Standing Only)
21244,370793,Other Fixed Object
21245,370794,Pedestrian
21246,370795,Motor Vehicle In-Transport
21247,370796,Motor Vehicle In-Transport
21248,370797,Motor Vehicle In-Transport
21249,370798,Motor Vehicle In-Transport
21250,370799,Motor Vehicle In-Transport
21251,370800,Traffic Sign Support
21252,370801,Rollover/Overturn
21253,370802,Motor Vehicle In-Transport
21254,370803,Mail Box
21255,370804,Motor Vehicle In-Transport
21256,370805,Ditch
21257,370806,Motor Vehicle In-Transport
21258,370807,Motor Vehicle In-Transport
21259,370808,Tree (Standing Only)
21260,370809,Pedestrian
21261,370810,Motor Vehicle In-Transport
21262,370811,Motor Vehicle In-Transport
21263,370812,Rollover/Overturn
21264,370813,Fence
21265,370814,Motor Vehicle In-Transport
21266,370815,Other Non-Collision
21267,370816,Ditch
21268,370817,Motor Vehicle In-Transport
21269,370818,Pedestrian
21270,370819,Motor Vehicle In-Transport
21271,370820,Motor Vehicle In-Transport
21272,370821,Motor Vehicle In-Transport
21273,370822,Motor Vehicle In-Transport
21274,370823,Motor Vehicle In-Transport
21275,370824,Motor Vehicle In-Transport
21276,370825,Motor Vehicle In-Transport
21277,370826,Guardrail Face
21278,370827,Motor Vehicle In-Transport
21279,370828,Pedestrian
21280,370829,Rollover/Overturn
21281,370830,Pedestrian
21282,370831,Motor Vehicle In-Transport
21283,370832,Motor Vehicle In-Transport
21284,370833,Motor Vehicle In-Transport
21285,370834,Motor Vehicle In-Transport
21286,370835,Motor Vehicle In-Transport
21287,370836,Motor Vehicle In-Transport
21288,370837,Motor Vehicle In-Transport
21289,370838,Motor Vehicle In-Transport
21290,370839,Ditch
21291,370840,Tree (Standing Only)
21292,370841,Motor Vehicle In-Transport
21293,370842,Tree (Standing Only)
21294,370843,Tree (Standing Only)
21295,370844,Traffic Sign Support
21296,370845,Motor Vehicle In-Transport
21297,370846,Motor Vehicle In-Transport
21298,370847,Pedestrian
21299,370848,Motor Vehicle In-Transport
21300,370849,Motor Vehicle In-Transport
21301,370850,Motor Vehicle In-Transport
21302,370851,Mail Box
21303,370852,Ditch
21304,370853,Motor Vehicle In-Transport
21305,370854,Tree (Standing Only)
21306,370855,Utility Pole/Light Support
21307,370856,Pedestrian
21308,370857,Motor Vehicle In-Transport
21309,370858,Motor Vehicle In-Transport
21310,370859,Pedalcyclist
21311,370860,Tree (Standing Only)
21312,370861,Ditch
21313,370862,Motor Vehicle In-Transport
21314,370863,Tree (Standing Only)
21315,370864,Culvert
21316,370866,Utility Pole/Light Support
21317,370867,Ditch
21318,370868,Motor Vehicle In-Transport
21319,370869,Motor Vehicle In-Transport
21320,370870,Pedestrian
21321,370871,Motor Vehicle In-Transport
21322,370872,Other Object (Not Fixed)
21323,370873,Motor Vehicle In-Transport
21324,370874,Tree (Standing Only)
21325,370875,Rollover/Overturn
21326,370876,Utility Pole/Light Support
21327,370877,Motor Vehicle In-Transport
21328,370878,Pedestrian
21329,370879,Motor Vehicle In-Transport
21330,370880,Guardrail End
21331,370881,Pedalcyclist
21332,370882,Motor Vehicle In-Transport
21333,370883,Motor Vehicle In-Transport
21334,370884,Motor Vehicle In-Transport
21335,370885,Tree (Standing Only)
21336,370886,Pedestrian
21337,370887,Ditch
21338,370888,Motor Vehicle In-Transport
21339,370889,Ditch
21340,370890,Fence
21341,370891,Rollover/Overturn
21342,370892,Motor Vehicle In-Transport
21343,370893,Traffic Sign Support
21344,370894,Ditch
21345,370895,Pedestrian
21346,370896,Motor Vehicle In-Transport
21347,370897,Pedestrian
21348,370898,Embankment
21349,370899,Motor Vehicle In-Transport
21350,370900,Motor Vehicle In-Transport
21351,370901,Motor Vehicle In-Transport
21352,370902,Motor Vehicle In-Transport
21353,370903,Motor Vehicle In-Transport
21354,370904,Pedalcyclist
21355,370905,Tree (Standing Only)
21356,370906,Live Animal
21357,370907,Pedestrian
21358,370908,Rollover/Overturn
21359,370909,Rollover/Overturn
21360,370910,Fence
21361,370911,Rollover/Overturn
21362,370912,Traffic Sign Support
21363,370913,Motor Vehicle In-Transport
21364,370914,Pedestrian
21365,370915,Ditch
21366,370916,Motor Vehicle In-Transport
21367,370917,Culvert
21368,370918,Pedestrian
21369,370919,Motor Vehicle In-Transport
21370,370920,Motor Vehicle In-Transport
21371,370921,Pedestrian
21372,370922,Pedestrian
21373,370923,Embankment
21374,370924,Motor Vehicle In-Transport
21375,370925,Pedestrian
21376,370926,Motor Vehicle In-Transport
21377,370927,Motor Vehicle In-Transport
21378,370928,Pedestrian
21379,370929,Motor Vehicle In-Transport
21380,370930,Mail Box
21381,370931,Tree (Standing Only)
21382,370932,Motor Vehicle In-Transport
21383,370933,Fell/Jumped from Vehicle
21384,370934,Motor Vehicle In-Transport
21385,370935,Ditch
21386,370936,Rollover/Overturn
21387,370937,Motor Vehicle In-Transport
21388,370938,Pedestrian
21389,370939,Motor Vehicle In-Transport
21390,370940,Rollover/Overturn
21391,370941,Motor Vehicle In-Transport
21392,370942,Motor Vehicle In-Transport
21393,370943,Motor Vehicle In-Transport
21394,370944,Motor Vehicle In-Transport
21395,370945,Motor Vehicle In-Transport
21396,370946,Motor Vehicle In-Transport
21397,370947,Tree (Standing Only)
21398,370948,Tree (Standing Only)
21399,370949,Other Object (Not Fixed)
21400,370950,Culvert
21401,370951,Bridge Rail (Includes Parapet)
21402,370952,Embankment
21403,370953,Rollover/Overturn
21404,370954,Thrown or Falling Object
21405,370955,Culvert
21406,370956,Pedestrian
21407,370957,Motor Vehicle In-Transport
21408,370958,Mail Box
21409,370959,Pedestrian
21410,370960,Pedestrian
21411,370961,Thrown or Falling Object
21412,370962,Motor Vehicle In-Transport
21413,370963,Tree (Standing Only)
21414,370964,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In-Transport"
21415,370965,Pedalcyclist
21416,370966,Motor Vehicle In-Transport
21417,370967,Motor Vehicle In-Transport
21418,370968,Motor Vehicle In-Transport
21419,370969,Pedestrian
21420,370970,Pedestrian
21421,370971,Tree (Standing Only)
21422,370972,Ditch
21423,370973,Motor Vehicle In-Transport
21424,370974,Motor Vehicle In-Transport
21425,370975,Culvert
21426,370976,Tree (Standing Only)
21427,370977,Rollover/Overturn
21428,370978,Embankment
21429,370979,Motor Vehicle In-Transport
21430,370980,Pedestrian
21431,370981,Curb
21432,370982,Motor Vehicle In-Transport
21433,370983,Motor Vehicle In-Transport
21434,370984,Motor Vehicle In-Transport
21435,370985,Mail Box
21436,370986,Pedestrian
21437,370987,Pedestrian
21438,370988,Pedestrian
21439,370989,Motor Vehicle In-Transport
21440,370990,Culvert
21441,370991,Live Animal
21442,370992,Tree (Standing Only)
21443,370993,Motor Vehicle In-Transport
21444,370994,Ditch
21445,370995,Motor Vehicle In-Transport
21446,370996,Motor Vehicle In-Transport
21447,370997,Motor Vehicle In-Transport
21448,370998,Fence
21449,370999,Motor Vehicle In-Transport
21450,371000,Motor Vehicle In-Transport
21451,371001,Motor Vehicle In-Transport
21452,371002,Shrubbery
21453,371003,Ditch
21454,371004,Rollover/Overturn
21455,371005,Motor Vehicle In-Transport
21456,371006,Tree (Standing Only)
21457,371007,Rollover/Overturn
21458,371008,Embankment
21459,371009,Motor Vehicle In-Transport
21460,371010,Motor Vehicle In-Transport
21461,371011,Tree (Standing Only)
21462,371012,Other Fixed Object
21463,371013,Rollover/Overturn
21464,371014,Motor Vehicle In-Transport
21465,371015,Rollover/Overturn
21466,371016,Live Animal
21467,371017,Pedestrian
21468,371018,Motor Vehicle In-Transport
21469,371019,Motor Vehicle In-Transport
21470,371020,Pedestrian
21471,371021,Motor Vehicle In-Transport
21472,371022,Pedestrian
21473,371023,Pedestrian
21474,371024,Guardrail Face
21475,371025,Traffic Sign Support
21476,371026,Motor Vehicle In-Transport
21477,371027,Motor Vehicle In-Transport
21478,371028,Motor Vehicle In-Transport
21479,371029,Tree (Standing Only)
21480,371030,Motor Vehicle In-Transport
21481,371031,Pedestrian
21482,371032,Motor Vehicle In-Transport
21483,371033,Pedestrian
21484,371034,Culvert
21485,371035,Motor Vehicle In-Transport
21486,371036,Motor Vehicle In-Transport
21487,371037,Mail Box
21488,371038,Rollover/Overturn
21489,371039,Pedalcyclist
21490,371040,Fence
21491,371041,Embankment
21492,371042,Mail Box
21493,371043,Motor Vehicle In-Transport
21494,371044,Concrete Traffic Barrier
21495,371045,Tree (Standing Only)
21496,371046,Traffic Sign Support
21497,371047,Pedestrian
21498,371048,Pedestrian
21499,371049,Pedestrian
21500,371050,Ditch
21501,371051,Pedestrian
21502,371052,Traffic Sign Support
21503,371053,Ditch
21504,371054,Pedestrian
21505,371055,Guardrail Face
21506,371056,Traffic Sign Support
21507,371057,Pedalcyclist
21508,371058,Motor Vehicle In-Transport
21509,371059,Motor Vehicle In-Transport
21510,371060,Motor Vehicle In-Transport
21511,371061,Motor Vehicle In-Transport
21512,371062,Pedestrian
21513,371063,Motor Vehicle In-Transport
21514,371064,Pedestrian
21515,371065,Motor Vehicle In-Transport
21516,371066,Tree (Standing Only)
21517,371067,Pedestrian
21518,371068,Motor Vehicle In-Transport
21519,371069,Live Animal
21520,371070,Motor Vehicle In-Transport
21521,371071,Motor Vehicle In-Transport
21522,371072,Non-Motorist on Personal Conveyance
21523,371073,Motor Vehicle In-Transport
21524,371074,Motor Vehicle In-Transport
21525,371075,Rollover/Overturn
21526,371076,Ditch
21527,371077,Pedestrian
21528,371078,Pedalcyclist
21529,371079,Motor Vehicle In-Transport
21530,371080,Culvert
21531,371081,Rollover/Overturn
21532,371082,Motor Vehicle In-Transport
21533,371083,Culvert
21534,371084,Ditch
21535,371085,Motor Vehicle In-Transport
21536,371086,Ditch
21537,371087,Motor Vehicle In-Transport
21538,371088,Motor Vehicle In-Transport
21539,371089,Tree (Standing Only)
21540,371090,Motor Vehicle In-Transport
21541,371091,Pedalcyclist
21542,371092,Motor Vehicle In-Transport
21543,371093,Pedestrian
21544,371094,Tree (Standing Only)
21545,371095,Pedestrian
21546,371096,Pedestrian
21547,371097,Motor Vehicle In-Transport
21548,371098,Tree (Standing Only)
21549,371099,Motor Vehicle In-Transport
21550,371100,Motor Vehicle In-Transport
21551,371101,Motor Vehicle In-Transport
21552,371102,Pedestrian
21553,371103,Culvert
21554,371104,Motor Vehicle In-Transport
21555,371105,Motor Vehicle In-Transport
21556,371106,Traffic Sign Support
21557,371107,Motor Vehicle In-Transport
21558,371108,Ditch
21559,371109,Culvert
21560,371110,Motor Vehicle In-Transport
21561,371111,Pedestrian
21562,371112,Rollover/Overturn
21563,371113,Motor Vehicle In-Transport
21564,371114,Motor Vehicle In-Transport
21565,371115,Pedestrian
21566,371116,Motor Vehicle In-Transport
21567,371117,Motor Vehicle In-Transport
21568,371118,Rollover/Overturn
21569,371119,Pedestrian
21570,371120,Motor Vehicle In-Transport
21571,371121,Motor Vehicle In-Transport
21572,371122,Non-Motorist on Personal Conveyance
21573,371123,Tree (Standing Only)
21574,371124,Motor Vehicle In-Transport
21575,371125,Motor Vehicle In-Transport
21576,371126,Motor Vehicle In-Transport
21577,371127,Motor Vehicle In-Transport
21578,371128,Motor Vehicle In-Transport
21579,371129,Pedestrian
21580,371130,Pedestrian
21581,371132,Motor Vehicle In-Transport
21582,371133,Motor Vehicle In-Transport
21583,371134,Pedestrian
21584,371135,Non-Motorist on Personal Conveyance
